direccion,horario,latitud,localidad,longitud,municipio,precio_gasoleo_a,precio_gasoleo_b,precio_gasoleo_premium,precio_gasolina_95_e10,precio_gasolina_95_e5,precio_gasolina_95_e5_premium,precio_gasolina_98_e5,provincia,rotulo
"CARRETERA N-230 KM. 6.5 KM. 6,5",L: 24H,41.663917,TORREFARRERA,0.606889,Torrefarrera,1.641,,,,1.711,,,LLEIDA,RENOVA OIL
"CALLE C/MARINADA, S/N",L-D: 24H,41.664028,TORREFARRERA,0.6045,Torrefarrera,1.521,,,,1.589,,1.649,LLEIDA,BONAREA
"CR N-230, 7",L-D: 05:00-23:00,41.671361,TORREFARRERA,0.604722,Torrefarrera,1.699,,1.759,,1.729,,1.889,LLEIDA,PETROCAT
"CAMI GILIBLAU, S/N",L-D: 24H,41.579139,TORREGROSSA,0.837417,Torregrossa,1.529,1.178,,,1.589,,,LLEIDA,F.A.LES PLANES
"CARRETERA N240 KM. 77,8",L-D: 24H,41.563944,TORREGROSSA,0.788028,Torregrossa,1.729,,,,1.849,,1.999,LLEIDA,GALP
"CARRETERA N-240 KM. 77,800",L-D: 24H,41.564333,TORREGROSSA,0.78825,Torregrossa,1.729,,,,1.849,,1.999,LLEIDA,GALP
"DISEMINADO AFORES, S/N",L-D: 24H,41.703056,TORRELAMEU,0.708139,Torrelameu,1.517,1.173,,,,,,LLEIDA,SIN ROTULO
"CALLE ESTATUT DE SAU, 0",L-D: 24H,41.533722,TORRES DE SEGRE,0.519,Torres de Segre,1.585,1.186,,,1.644,,,LLEIDA,PONENT ENERGIA
CARRETERA N-2 KM. 450,L-D: 06:00-22:00,41.558861,TORRES DE SEGRE,0.511667,Torres de Segre,1.739,,1.799,,1.739,,1.879,LLEIDA,REPSOL
"CARRETERA C-13 KM. 86,30",L-D: 06:00-22:00,42.171361,TREMP,0.895,Tremp,1.705,1.36,1.77,,1.78,,1.89,LLEIDA,REPSOL
"AVENIDA PIRINEUS, S/N",L-D: 24H,42.174056,TREMP,0.897222,Tremp,1.569,,,,1.639,,,LLEIDA,ESCLATOIL
