direccion,horario,latitud,localidad,longitud,municipio,precio_gasoleo_a,precio_gasoleo_b,precio_gasoleo_premium,precio_gasolina_95_e10,precio_gasolina_95_e5,precio_gasolina_95_e5_premium,precio_gasolina_98_e5,provincia,rotulo
"AVENIDA CASTILLA LA MANCHA, 26",L-D: 07:00-22:00,39.211417,ABENGIBRE,-1.539167,Abengibre,1.599,1.219,,,1.699,,,ALBACETE,Nº 10.935
"AVENIDA 1º DE MAYO, S/N",L-S: 08:00-22:00; D: 09:00-21:00,38.985667,ALBACETE,-1.8685,Albacete,1.729,,1.769,,1.779,,1.889,ALBACETE,CARREFOUR
"CALLE FEDERICO GARCIA LORCA, 1",L-D: 24H,39.000861,ALBACETE,-1.849833,Albacete,1.589,,,,1.659,,,ALBACETE,PLENOIL
"CALLE PRINCIPE DE ASTURIAS (POLÍGONO DE ROMICA), 5",L-D: 06:00-21:30,39.054694,ALBACETE,-1.832,Albacete,1.709,,1.799,,1.759,,1.901,ALBACETE,BP ROMICA
"CALLE FEDERICO GARCIA LORCA, 5",L-S: 05:00-23:00,38.997722,ALBACETE,-1.846361,Albacete,1.745,,,,,,,ALBACETE,CEPSA
"CL PASEO DE LA CUBA, 15",L-D: 06:00-22:00,38.999722,ALBACETE,-1.854556,Albacete,1.719,,1.779,,1.769,,1.889,ALBACETE,REPSOL
"PASEO CUBA (LA), 36",L-D: 06:00-23:00,39.005083,ALBACETE,-1.859917,Albacete,1.749,,1.815,,1.789,,1.921,ALBACETE,CEPSA
"AVENIDA MENÉNDEZ PIDAL, 58",L-D: 24H,39.003333,ALBACETE,-1.864917,Albacete,1.709,,1.759,,1.769,,1.879,ALBACETE,TAMOS
"AVENIDA ESCRITOR RODRIGO RUBIO, 3",L-S: 09:00-21:30,39.006889,ALBACETE,-1.885361,Albacete,1.578,,1.638,,1.688,,,ALBACETE,A&A
"CALLE HERMANOS FALCÓ, 2",L-D: 06:30-22:30,38.98925,ALBACETE,-1.849028,Albacete,1.759,,1.829,,1.799,,1.939,ALBACETE,CEPSA
"AVENIDA 1º DE MAYO, S/N",L-D: 07:00-23:00,38.985194,ALBACETE,-1.866806,Albacete,1.639,,,,1.719,,,ALBACETE,PETROCAMP
"CALLE CTRA. DE JAEN, 79",L-D: 06:00-23:00,38.988111,ALBACETE,-1.883694,Albacete,1.729,,1.799,,1.799,,1.929,ALBACETE,REPSOL
"CALLE ALCALDE CONANGLA (C.C. EROSKI), S/N",L-S: 07:00-23:00; D: 08:00-23:00,38.988972,ALBACETE,-1.847361,Albacete,1.569,,1.659,,1.639,,1.699,ALBACETE,FAMILY ENERGY
"AVDA. DE ESPAÑA (PRÓX. A C/ SAN JUAN), S/N",L-D: 07:00-23:00,38.982167,ALBACETE,-1.853306,Albacete,1.629,,,,1.729,,,ALBACETE,INPEALSA
CARRETERA JAEN KM. 2,L-D: 24H,38.994667,ALBACETE,-1.871722,Albacete,1.729,,1.789,,1.779,1.819,1.889,ALBACETE,REPSOL
CARRETERA N-322 KM. 359,L-V: 07:00-21:00; S-D: 09:00-14:00,39.033139,ALBACETE,-1.845083,Albacete,1.709,,1.769,,1.759,,1.889,ALBACETE,REPSOL
"CALLE ALMANSA, 2",L-D: 06:00-23:00,38.984139,ALBACETE,-1.847083,Albacete,1.749,,1.815,,1.779,,1.911,ALBACETE,CEPSA
"CR N-301, 244",L-D: 24H,39.027778,ALBACETE,-1.892972,Albacete,1.729,,1.789,,1.769,,1.889,ALBACETE,REPSOL
"PG CAMPOLLANO-P. 2-CT, S.N.",L-V: 06:00-22:00; S: 07:30-15:30; D: 09:00-15:00,39.012583,ALBACETE,-1.874972,Albacete,1.729,,1.789,,1.759,,1.879,ALBACETE,REPSOL
"AVDA. DE LOS TOREROS, S/N",L-D: 07:00-23:00,38.998222,ALBACETE,-1.869889,Albacete,1.629,,1.679,,1.729,,,ALBACETE,INPEALSA
CARRETERA NACIONAL 322 PTO KM 347 KM. 347,L-S: 07:00-22:00,38.965639,ALBACETE,-1.9355,Albacete,1.619,,,,,,,ALBACETE,P347
"CR N-322, 337,8",L-D: 06:30-22:00,38.925833,ALBACETE,-2.031861,Albacete,1.739,,1.809,,1.789,,1.909,ALBACETE,REPSOL
CARRETERA NACIONAL 301 KM. 256,L-D: 24H,38.929389,ALBACETE,-1.831639,Albacete,1.609,,,,1.729,,,ALBACETE,INPEALSA
CARRETERA N-322 KM. 349,L-D: 24H,38.970167,ALBACETE,-1.919778,Albacete,1.759,,1.829,,1.789,,1.849,ALBACETE,CEPSA
"AVENIDA PRINCIPE, 2",L-D: 08:00-16:00,38.900944,SANTA ANA,-1.994028,Albacete,1.689,1.416,1.749,,1.719,,1.839,ALBACETE,REPSOL
"CM. 3203 km 14,1",L-S: 07:00-14:00; D: 09:00-14:00,38.867556,SALOBRAL (EL),-1.9205,Albacete,1.637,1.179,1.86,,1.692,,,ALBACETE,LOZANO
"CTRA.AGUASNUEVAS KM 0,25",L-D: 24H,38.870278,SALOBRAL (EL),-1.922722,Albacete,,1.2,,,,,,ALBACETE,CORYMAR
"CALLE C/ AUTOVIA C/V AVD. SEXTA, S/N",L-D: 24H,39.029583,ALBACETE,-1.888083,Albacete,,,,,,,,ALBACETE,NATURGY ES  GNV ALBACETE
"CALLE AUTOVIA, SN",L-D: 24H,39.029167,ALBACETE,-1.888333,Albacete,1.619,,,,1.729,,,ALBACETE,LA GAVIOTA GASOLINERA 24 HORA
AUTOVIA A-31 KM. 69,L-D: 06:00-22:00,39.031528,ALBACETE,-1.891361,Albacete,1.719,,1.819,,1.769,,1.929,ALBACETE,REPSOL
"POLIGONO ROMICA C/4, 106",L: 24H,39.060639,ALBACETE,-1.836806,Albacete,1.55,,,,1.62,,,ALBACETE,VILLAFUEL SL
"MADRID-CARTAGENA km 248,5",L-D: 06:00-22:00,38.971722,ALBACETE,-1.845278,Albacete,1.709,,1.779,,1.769,1.819,1.889,ALBACETE,"REPSOL. LOS ANGELES DE LA MANCHA, S.L."
"CARRETERA C-M 332 KM. 2,6",L-D: 06:00-23:30,38.998111,ALBACETE,-1.831611,Albacete,1.749,1.639,1.809,,1.799,,1.929,ALBACETE,"INLOCOR S.L. ""CEPSA"""
"AVENIDA 3ª ESQUINA C/ F Nº3, 3",L-D: 24H,39.009417,ALBACETE,-1.885694,Albacete,1.599,,,,1.699,,,ALBACETE,FAST & GAS
"POLIGONO AVDA. 3ª, ESQUINA C/AUTOVIA, 69",L-D: 24H,39.018,ALBACETE,-1.874333,Albacete,1.629,,1.729,,1.729,,1.859,ALBACETE,ENERCOM CARBURANTES
"SECTOR PARCELA T-3 LOCAL52, 14",L-S: 06:00-23:00; D: 08:00-23:00,39.009639,ALBACETE,-1.878111,Albacete,1.681,,1.717,,1.727,,1.828,ALBACETE,ALCAMPO
"POLIGONO CAMPOLLANO C/.F, 13",L-D: 24H,39.012472,ALBACETE,-1.889417,Albacete,1.619,,,,,,,ALBACETE,AVANZA OIL
"POLIGONO CAMPOLLANO AVENIDA -0-, 69",L-V: 07:00-21:00; S-D: 09:00-14:00,39.021972,ALBACETE,-1.879639,Albacete,2.259,,,,2.299,,2.369,ALBACETE,ABOIL
"MADRID-CARTAGENA km 248,5",L-V: 06:00-22:00,38.971778,ALBACETE,-1.845306,Albacete,1.709,,1.779,,1.769,,1.889,ALBACETE,REPSOL Nº ESTACIÓN 97179
"AVENIDA PRIMERA, 94",L-V: 06:00-22:00; S: 06:00-14:00,39.016361,ALBACETE,-1.893944,Albacete,1.609,,1.659,,1.729,,,ALBACETE,INPEALSA
"POLIGONO CAMPOLLANO, 55",L-V: 05:30-23:00; S: 06:30-22:30; D: 07:30-21:00,39.015444,ALBACETE,-1.871361,Albacete,1.749,,1.819,,1.779,,1.899,ALBACETE,CEPSA
"AVENIDA POLIGONO CAMPOLLANO AVENIDA 0, 67",L-D: 24H,39.021583,ALBACETE,-1.886556,Albacete,1.649,,,,1.729,,,ALBACETE,VALERO 24H
"AVENIDA PRIMERA, S/N",L-D: 24H,39.022139,ALBACETE,-1.882056,Albacete,1.559,,,,1.619,,,ALBACETE,GMOIL
"AUTOVIA A-30 KM. 239,4",L-D: 24H,39.060528,ALBACETE,-1.933056,Albacete,1.729,,1.809,,1.769,,,ALBACETE,CEPSA
"POLIGONO Nº 71, PARCELA 678, PARAJE HONDO DE LA MORENA S/N, S/N",L-D: 06:30-22:30,38.969361,ALBACETE,-1.823639,Albacete,1.759,,1.829,,1.799,,1.939,ALBACETE,CEPSA
"CARRETERA DE LAS PEÑAS KM 0+238 KM. 0,238",L-D: 07:00-22:00,38.970778,ALBACETE,-1.873194,Albacete,1.639,,,,1.729,,,ALBACETE,AREA LOS LLANOS
"AUTOVIA A-30 KM. 239,4",L-D: 07:00-23:00,39.059806,ALBACETE,-1.93325,Albacete,1.709,,1.789,,1.769,,1.901,ALBACETE,CEPSA
"CM-3203 km 41,9",L-D: 07:00-21:30,38.646833,ALCADOZO,-1.978917,Alcadozo,1.759,1.439,1.829,,1.799,,,ALBACETE,CEPSA
"CARRETERA CM-3201 47,1 KM. 47,1",L-D: 08:00-21:00,39.203167,ALCALA DEL JUCAR,-1.433222,Alcalá del Júcar,1.659,,,,1.739,,,ALBACETE,EL JUCAR
"CR N-322 276,5",L-D: 07:00-22:00,38.673111,ALCARAZ,-2.492222,Alcaraz,1.709,,1.779,,1.809,,1.949,ALBACETE,REPSOL
CARRETERA N-430 BADAJOZ A VALENCIA KM. 594,L-D: 24H,38.850278,ALMANSA,-1.027694,Almansa,1.599,1.389,,,1.699,,,ALBACETE,GASOLINERA LOW COST PENADES
"AVENIDA INFANTE DON JUAN MANUEL, 8",L-D: 24H,38.874556,ALMANSA,-1.102944,Almansa,1.609,,,,1.679,,,ALBACETE,QUALITY ALMANSA
"AVENIDA MADRID, 11",L-V: 06:00-22:00,38.871556,ALMANSA,-1.108,Almansa,1.729,,1.799,,1.774,1.869,,ALBACETE,CEPSA
"AVENIDA CIRCUNVALACION, 9",L-D: 06:00-22:00,38.879167,ALMANSA,-1.098889,Almansa,1.729,,1.799,,1.774,1.869,,ALBACETE,CEPSA
"AVENIDA CIRCUNVALACION, 17",L-D: 24H,38.874083,ALMANSA,-1.089278,Almansa,1.609,,,,,,,ALBACETE,GASÓLEOS S. ALMANSA
"AUTOVIA A-31 KM. 143,350",L-D: 06:00-22:00,38.878278,ALMANSA,-1.143722,Almansa,1.749,,1.819,,1.809,,1.879,ALBACETE,CEPSA
AUTOVIA A-31 KM. 140,L-D: 07:00-23:00,38.875028,ALMANSA,-1.17575,Almansa,1.734,,1.814,,1.779,,1.919,ALBACETE,SHELL
"CL AVDA. DE AYORA, S.N. A",L-D: 06:00-22:00,38.874583,ALMANSA,-1.100528,Almansa,1.719,,1.819,,1.769,,1.929,ALBACETE,REPSOL
"AVENIDA CIRCUNVALACION, 26",L-D: 06:00-22:00,38.859944,ALMANSA,-1.08475,Almansa,1.739,,1.815,,1.789,,,ALBACETE,CEPSA
"BONETE, S/Nº",L-D: 24H,38.958875,ALPERA,-1.236552,Alpera,1.571,1.183,,,1.627,,,ALBACETE,COOPERATIVA SANTA CRUZ DE ALPERA
"N-322 km 326,2",L-D: 07:00-23:00,38.878028,BALAZOTE,-2.150639,Balazote,1.725,1.45,,,1.775,,,ALBACETE,E.S. BALAZOTE S.L.
"CALLE ALBACETE, 57",L-D: 06:00-23:00,39.043139,BARRAX,-2.195139,Barrax,1.725,1.45,,,1.775,,,ALBACETE,E.S. BARRAX S.L.
CAMINO DE LOS GONZALOS SN,L-D: 24H,39.051236,BARRAX,-2.192996,Barrax,1.609,1.251,,,,,,ALBACETE,COABA
CARRETERA BIENSERVIDA KM. 10,L-D: 07:00-22:00,38.516417,BIENSERVIDA,-2.617667,Bienservida,1.559,,,,1.689,,,ALBACETE,GASOLINERA ETENOIL
AUTOVIA A-31 KM. 126,L-D: 06:00-22:00,38.875861,BONETE,-1.3315,Bonete,1.719,,1.789,,1.759,,1.889,ALBACETE,REPSOL
"CR N-430, 566,3",L-D: 06:00-22:00,38.876111,BONETE,-1.331611,Bonete,1.719,,1.799,,1.759,,1.899,ALBACETE,REPSOL
"CALLE CARRETERA MUNERA, 2",S-D: 07:00-15:00,38.953361,BONILLO (EL),-2.535056,Bonillo (El),1.689,1.426,1.749,,1.719,,1.839,ALBACETE,REPSOL
"AVDA. ALBACETE, 33",L-D: 07:00-23:00,39.100792,CASAS DE JUAN NUÑEZ,-1.560857,Casas de Juan Núñez,1.679,1.2,,,1.779,,,ALBACETE,GASOLINERAS DEL REY
"CARRETERA CASAS IBAÑEZ KM. 13,8",L-V: 08:00-13:30 y 15:00-18:00,39.255139,CASAS DE VES,-1.332194,Casas de Ves,,1.2,,,,,,ALBACETE,COOPERATIVA
"AVDA. DEL VINO, 10",L-D: 24H,39.291375,CASAS-IBAÑEZ,-1.474107,Casas-Ibáñez,,1.35,,,,,,ALBACETE,CEPSA
CARRETERA ALBACETE KM. 94,L-D: 07:00-21:00,39.283944,CASAS-IBAÑEZ,-1.477806,Casas-Ibáñez,1.769,1.429,1.829,,1.789,,1.919,ALBACETE,CEPSA
"CARRETERA N-344 KM. 114,500",L-D: 24H,38.710861,CAUDETE,-0.974778,Caudete,1.654,1.274,,,,,,ALBACETE,TRANSPORTES CAUDETE
"CR N-330, 71,4",L-D: 06:00-23:00,38.756417,CAUDETE,-0.955833,Caudete,1.719,1.379,1.799,,1.759,,1.899,ALBACETE,REPSOL
"CR N-344 DIRC.VALENCIA, KM.  118.3",L-D: 06:00-22:00,38.727472,CAUDETE,-0.943,Caudete,1.739,,1.83,,1.79,,1.931,ALBACETE,BP PARGA I PETROL BAS BEL
CARRETERA D12 ESTACION KM. 1,L-D: 24H,38.71075,CAUDETE,-0.973861,Caudete,,,,,,,,ALBACETE,HAM
"AVENIDA VALENCIA DE, 16",L-D: 06:00-22:00,38.708944,CAUDETE,-0.982111,Caudete,1.749,,1.839,,1.809,,1.959,ALBACETE,GALP
CARRETERA D-12 ESTACION KM. 32,L-D: 24H,38.711694,CAUDETE,-0.971639,Caudete,1.659,1.279,,,1.729,,,ALBACETE,VILA Y FAYOS
AUTOVIA A-31 KM. 172,L-V: 07:00-15:00,38.721917,CAUDETE,-0.933861,Caudete,1.772,,1.872,,1.849,,1.969,ALBACETE,BP OIL
"CALLE VIRGEN DE LAS NIEVES, 17",L-D: 24H,39.301,CENIZATE,-1.664167,Cenizate,1.556,1.126,,,1.596,,,ALBACETE,VIRGEN DE LAS NIEVES
AUTOVIA A-31 KM. 86,L-D: 06:00-23:00,38.937583,CHINCHILLA DE MONTE-ARAGO,-1.758,Chinchilla de Monte-Aragón,1.719,,1.819,,1.769,,1.919,ALBACETE,REPSOL
"Ctra. AB-430 KM 530,3",L: 06:00-22:00,38.915972,CHINCHILLA DE MONTE-ARAGO,-1.726278,Chinchilla de Monte-Aragón,1.729,,1.789,,1.769,,1.889,ALBACETE,REPSOL
AUTOVIA A-31 KM. 86,L-D: 06:00-23:00,38.938611,CHINCHILLA DE MONTE-ARAGO,-1.757611,Chinchilla de Monte-Aragón,1.719,,1.819,,1.769,,,ALBACETE,REPSOL
CL AVENIDA GENERALISIMO 107 (N-301 km 276),L-D: 06:00-22:00,38.803389,POZO BUENO,-1.731861,Chinchilla de Monte-Aragón,1.739,,1.839,,1.769,1.799,,ALBACETE,REPSOL
AUTOVIA A31 KM. 111,L-V: 06:00-22:00; S-D: 07:00-22:00,38.898306,VILLAR DE CHINCHILLA,-1.502806,Chinchilla de Monte-Aragón,1.749,,1.849,,1.799,,1.939,ALBACETE,CEPSA
"CL BOLEA, 36 (CM-412 km 235,65)",L: 06:00-22:00,38.451306,ELCHE DE LA SIERRA,-2.044778,Elche de la Sierra,1.739,1.437,1.799,,1.769,,1.909,ALBACETE,CAMPSA
"POLIGONO EL CAMPILLO A, 2",L-V: 08:00-21:00; S: 08:00-14:00,38.460694,ELCHE DE LA SIERRA,-2.017917,Elche de la Sierra,1.669,,,,1.71,,,ALBACETE,DLP
"LA HIGUERA, 000",L-D: 24H,38.695348,FUENTE-ALAMO,-1.431579,Fuente-Álamo,1.54,1.16,,,,,,ALBACETE,SAN DIONISIO
"AVDA. DOCTOR PEREZ GIL, 25",L-D: 07:00-21:00,38.689833,FUENTE-ALAMO,-1.433306,Fuente-Álamo,1.679,1.239,,,1.749,,1.87,ALBACETE,Nº 7374
N-322 (CORDOBA-VALENCIA) km 399,L-D: 07:00-20:00,39.269972,FUENTEALBILLA,-1.548639,Fuentealbilla,1.629,1.249,,,1.719,,,ALBACETE,ES SAN ANTONIOABAD. FUENTEALBILLA
"CR N-301, 231,8",L-D: 07:00-21:00,39.107667,GINETA (LA),-1.990194,Gineta (La),1.699,,1.759,,1.749,,1.879,ALBACETE,REPSOL
"CR A-31, 235",L-D: 06:00-22:00,39.086278,GINETA (LA),-1.963944,Gineta (La),1.719,,1.819,,1.769,1.809,1.929,ALBACETE,REPSOL
CARRETERA NACIONAL 322 KM. 390,L: 06:00-22:00,39.238111,GOLOSALVO,-1.635111,Golosalvo,1.749,,1.829,,1.799,,1.929,ALBACETE,CEPSA
"MELCHOR  DE MACANAZ, 66",L: 06:00-23:00,38.511222,HELLIN,-1.696972,Hellín,1.739,,1.789,,1.759,,1.869,ALBACETE,BP
"CARRETERA A-30 KM. 328,2",L-D: 06:00-22:00,38.417306,HELLIN,-1.571667,Hellín,1.729,,1.819,,1.774,1.835,,ALBACETE,CEPSA
CARRETERA N 301-A KM. S/N,L-D: 24H,38.502528,HELLIN,-1.677694,Hellín,1.595,,,,1.675,,,ALBACETE,MULTSER-OIL
"AUTOVIA A-30 KM. 322,5",L-D: 06:00-22:00,38.46425,HELLIN,-1.596722,Hellín,1.739,,1.809,,1.799,,1.929,ALBACETE,GALP
CARRETERA JAEN KM. 47,L-D: 08:00-21:00,38.502889,HELLIN,-1.714556,Hellín,1.729,,1.789,,1.739,,1.859,ALBACETE,REPSOL
"POLIGONO SAN RAFAEL 3ª FASE, SN",L-D: 24H,38.545111,HELLIN,-1.705389,Hellín,1.779,,,,,,,ALBACETE,IDS
CARRETERA TORREUCHEA KM. 1,L-D: 24H,38.495972,HELLIN,-1.636389,Hellín,1.798,1.699,1.819,,1.799,,1.899,ALBACETE,HELLIN GAS S.L.
"AVENIDA LIBERTAD, 111",L-D: 24H,38.517306,HELLIN,-1.700417,Hellín,1.575,,,,1.649,,,ALBACETE,PLENOIL
CARRETERA CM 412 KM. 273,L-D: 06:30-22:00,38.532389,HELLIN,-1.694889,Hellín,1.575,,,,1.688,,,ALBACETE,PETROGAS
CARRETERA N-301 KM. 316,L-D: 06:00-23:00,38.524444,HELLIN,-1.703056,Hellín,1.739,,1.799,,1.749,,1.869,ALBACETE,REPSOL
CARRETERA MURCIA KM. 33,L-D: 06:00-23:00,38.506806,HELLIN,-1.687833,Hellín,1.729,,1.789,,1.739,,1.859,ALBACETE,PETRONOR
CARRETERA DE HELLIN KM. 104,L-D: 06:00-23:00,38.491861,ISSO,-1.741111,Hellín,1.729,1.447,1.789,,1.729,,1.849,ALBACETE,REPSOL
"BALTASAR GONZALEZ SAEZ, 34 - 36",L-D: 24H,38.960944,HIGUERUELA,-1.444083,Higueruela,1.644,1.171,,,1.665,,,ALBACETE,NO
"AUTOVIA A-31 KM. 103,150",L-D: 07:00-23:00,38.921833,HOYA-GONZALO,-1.583389,Hoya-Gonzalo,1.719,,1.809,,1.769,,1.909,ALBACETE,REPSOL
"CARRETERA A 45 KM. 39,8",L-D: 07:00-21:30,38.356556,LETUR,-2.111056,Letur,1.717,1.357,,,1.755,,,ALBACETE,E.S. LETUR
"PASEO LIBERTAD, 62",L-D: 7:00-20:30,38.948472,LEZUZA,-2.354861,Lezuza,1.709,,,,1.799,,,ALBACETE,E.S. VIRGEN DE LA CRUZ
CARRETERA C-3222 KM. 9,L-S: 07:00-15:00,39.226611,MADRIGUERAS,-1.800611,Madrigueras,1.659,,,,1.719,,,ALBACETE,Q8
AVENIDA DE LEVANTE 27,L-D: 24H,39.232528,MADRIGUERAS,-1.794139,Madrigueras,1.6,1.21,,,,,,ALBACETE,SAT VIDEMA
"AVENIDA LEVANTE, 15",L-D: 06:00-22:00,39.233056,MADRIGUERAS,-1.799472,Madrigueras,1.689,1.368,1.759,,1.719,,,ALBACETE,REPSOL
"CAMINO HORTIGOSA, S/N",L-D: 24H,39.209972,MAHORA,-1.729333,Mahora,1.6,1.2,,,,,,ALBACETE,SECADEMA
CARRETERA MADRID-CARTAGENA KM. S/N,L-D: 24H,39.273583,MINAYA,-2.325056,Minaya,1.585,1.215,,,,,,ALBACETE,COOPERATIVA VITIVINICOLA SANTIAGO EL MAYOR
"CARRERA N-301, 195,2",L-D: 06:00-23:00,39.276056,MINAYA,-2.330333,Minaya,1.739,1.379,1.809,,1.799,,1.929,ALBACETE,REPSOL
"CALLE CAPATAZ SANTIAGO, 91",L-D: 06:30-23:00,38.789694,MONTEALEGRE DEL CASTILLO,-1.32875,Montealegre del Castillo,1.539,1.179,,,,,,ALBACETE,BODEGAS SANTIAGO APOSTOL
"CALLE CAPATAZ SANTIAGO, 23",L-D: 07:00-21:00,38.785917,MONTEALEGRE DEL CASTILLO,-1.33025,Montealegre del Castillo,1.729,,,,1.779,,,ALBACETE,LOS CORRALES
MEDIO DÍA 28,L-D: 24H,39.17907,MOTILLEJA,-1.788246,Motilleja,,1.23,,,,,,ALBACETE,SAT MOTILLEJA
"CALLE COOPERATIVAS, 4",L-D: 24H,39.046139,MUNERA,-2.480694,Munera,1.449,1.08,,,1.579,,,ALBACETE,OLEOVINICOLA CAMPOS DE MUNERA S. COOP. DE C-LM
"CALLE POZO (EL), 106",L-D: 06:30-22:30,39.043806,MUNERA,-2.485028,Munera,1.619,,1.669,,1.729,,,ALBACETE,INPEALSA
CTRA DE LEDAÑA S/N km S/N,L-D: 24H,39.281778,NAVAS DE JORQUERA,-1.719778,Navas de Jorquera,1.55,1.147,,,,,,ALBACETE,COOP SAN GREGORIO
"CR AB-702, 45,6",L-D: 07:00-21:00,38.151167,NERPIO,-2.293444,Nerpio,1.689,1.462,,,1.719,,1.839,ALBACETE,CAMPSA
"CRTA.CM km KM297,5",L-D: 07:00-21:00,38.622944,ONTUR,-1.497667,Ontur,1.689,1.447,1.749,,1.719,1.749,,ALBACETE,REPSOL
CAMINO DE HELLIN S/N,L-D: 24H,38.609556,ONTUR,-1.508333,Ontur,1.599,1.342,,,,,,ALBACETE,ONTALBA S. COOP DE C-LM
CARRETERA N 430 KM. 429,L-S: 08:00-20:00; D: 08:00-18:00,38.967167,OSSA DE MONTIEL,-2.7515,Ossa de Montiel,1.689,,1.749,,1.719,1.749,,ALBACETE,REPSOL
"AVENIDA GUARDIA CIVIL, S/N",L-D: 24H,38.724028,PEÑAS DE SAN PEDRO,-1.990278,Peñas de San Pedro,1.649,,,,1.729,,,ALBACETE,VALERO 24H ENERGIA
CARRETERA FUENTEALAMO KM. 36,L-D: 24H,38.828806,PETROLA,-1.553694,Pétrola,1.699,,,,1.749,,,ALBACETE,GASOLEOS TURBULA
"CALLE HERNAN CORTES, S/N",L-D: 08:00-20:00,38.813389,POZO CAÑADA,-1.735917,Pozo Cañada,1.54,,,,,,,ALBACETE,POZOTRANS
"CALLE ANTONIO MACHADO, 2",L-V: 07:00-14:00; S: 09:00-14:00,38.805278,POZO CAÑADA,-1.736389,Pozo Cañada,1.679,,,,,,,ALBACETE,E.S. LEDAÑA
"CR CM-313 61,7",L-D: 07:00-21:00,38.717556,POZOHONDO,-1.91075,Pozohondo,1.769,1.419,,,1.859,,,ALBACETE,REPSOL
"CALLE DISEMINADOS, 1",L-V: 08:00-14:00 y 16:00-18:00,38.64175,NAVA DE ABAJO,-1.844139,Pozohondo,1.539,,,,1.709,,,ALBACETE,CAMPAREZ
"POLIGONO PARAJE RECIAL, 2",L-D: 24H,39.081278,POZO-LORENTE,-1.512611,Pozo-Lorente,1.635,1.215,,,,,,ALBACETE,SAT SANTA CRUZ DE POZO LORENTE
CARRETERA M 313 KM. 50,L-D: 07:00-22:00,38.804722,POZUELO,-2.098778,Pozuelo,1.709,1.489,,,1.759,,1.869,ALBACETE,INLOCOR S.L.
"CARRETERA CM-412 KM. 199,5",L-D: 08:00-20:00,38.493528,RIOPAR,-2.411444,Riópar,1.749,,1.829,,1.789,1.859,,ALBACETE,CEPSA
CARRETERA NACIONAL 320 KM. 289,L-V: 07:00-21:00; S: 07:00-14:30; D: 07:00-21:00,38.771194,ROBLEDO,-2.450028,Robledo,1.65,,,,1.69,,,ALBACETE,CANOIL
"ALFREDO ATIENZA, 149-151",L-D: 24H,39.201139,RODA (LA),-2.14775,Roda (La),1.529,1.175,,,,,,ALBACETE,LA REMEDIADORA
CARRETERA MADRID CARTAGENA KM. 209,L-D: 06:00-22:00,39.212361,RODA (LA),-2.171028,Roda (La),1.719,,1.809,,1.779,,,ALBACETE,BP CASA JUANITO RESTAURANTE
"AUTOVIA A-31 KM. 34,50",L-D: 07:00-23:00,39.225,RODA (LA),-2.186083,Roda (La),1.739,,1.829,,1.799,,1.929,ALBACETE,GALP
"POLIGONO AVENIDA PRIMERA, 17",L-D: 24H,39.19125,RODA (LA),-2.143056,Roda (La),,,,,,,,ALBACETE,HAM
"CR NACIONAL 301 km 210,300",L-D: 24H,39.213653,RODA (LA),-2.17619,Roda (La),1.51,,,,,,,ALBACETE,RODATRANS
"CARRETERA AB101 KM. 0,2",L-D: 24H,39.218389,RODA (LA),-2.158028,Roda (La),1.549,,,,1.679,,,ALBACETE,GASPLAY
MARTIRES 209,L-V: 07:00-21:00; S: 09:00-13:00,39.212861,RODA (LA),-2.171778,Roda (La),1.669,,1.789,,1.724,,1.856,ALBACETE,CEPSA
AUTOVIA A-31 KM. 40,L-D: 06:00-22:00,39.200944,RODA (LA),-2.144639,Roda (La),1.719,,1.809,,1.769,,1.919,ALBACETE,REPSOL
"CARRETERA CM-3114 KM. 0,1",L-V: 06:00-10:00; S: 06:00-14:00,39.213722,RODA (LA),-2.156667,Roda (La),1.729,,1.789,,1.759,,1.879,ALBACETE,REPSOL
CARRETERA A-31 KM. 50,L-D: 07:00-23:00,39.143972,RODA (LA),-2.05125,Roda (La),1.739,,1.829,,1.799,,1.929,ALBACETE,GALP
"CALLE ALFREDO ATIENZA, 156",L-D: 06:00-22:55,39.201667,RODA (LA),-2.149,Roda (La),1.739,,1.799,,1.769,,1.889,ALBACETE,REPSOL
"AVENIDA DE LA PAZ, 3",L-S: 06:00-22:00; D: 06:30-22:00,38.331361,SOCOVOS,-1.981861,Socovos,1.689,1.369,,,1.749,,1.849,ALBACETE,"NAVARRO Y VALERO, S.L"
"CARRETERA VILLAGARCIA KM. 0,1",L-D: 24H,39.270556,TARAZONA DE LA MANCHA,-1.908778,Tarazona de la Mancha,1.532,1.135,,,1.565,,,ALBACETE,COOP. LA UNION AB
"AVENIDA ALBACETE, 35",L-D: 24H,39.256194,TARAZONA DE LA MANCHA,-1.912194,Tarazona de la Mancha,1.569,,,,1.629,,,ALBACETE,LA GAVIOTA GASOLINERAS
"CL AVENIDA DE LA RODA, 1",L-D: 07:00-23:00,39.25975,TARAZONA DE LA MANCHA,-1.911389,Tarazona de la Mancha,1.689,,1.749,,1.719,1.769,,ALBACETE,REPSOL
"AVENIDA GUARDIA CIVIL, 162",L-D: 06:00-23:00,38.601722,TOBARRA,-1.680833,Tobarra,1.569,,,,1.649,,,ALBACETE,NTRA. SRA. DE LA ENCARNACION
"AVENIDA GUARDIA CIVIL, 233",L-D: 24H,38.602278,TOBARRA,-1.680917,Tobarra,1.739,1.409,1.819,,1.779,,1.919,ALBACETE,REPSOL
